transaction_id,bank_reference,bank_amount,currency,bank_settlement_date
TX-100000,BNK-000000,312.29,USD,2026-07-17
TX-100001,BNK-000001,661.12,EUR,2026-07-03
TX-100002,BNK-000002,187.99,EUR,2026-07-09
TX-100003,BNK-000003,786.24,EUR,2026-07-17
TX-100004,BNK-000004,1024.14,EUR,2026-07-06
TX-100005,BNK-000005,277.88,EUR,2026-07-22
TX-100006,BNK-000006,160.87,EUR,2026-07-23
TX-100007,BNK-000007,314.17,EUR,2026-07-08
TX-100008,BNK-000008,86.73,EUR,2026-07-21
TX-100009,BNK-000009,1202.24,EUR,2026-07-09
TX-100010,BNK-000010,125.29,GBP,2026-07-20
TX-100011,BNK-000011,219.54,EUR,2026-07-10
TX-100013,BNK-000013,226.79,GBP,2026-07-02
TX-100014,BNK-000014,191.57,GBP,2026-07-15
TX-100015,BNK-000015,1756.42,EUR,2026-07-02
TX-100016,BNK-000016,324.8,EUR,2026-07-05
TX-100017,BNK-000017,303.88,EUR,2026-07-18
TX-100018,BNK-000018,277.2,USD,2026-07-10
TX-100019,BNK-000019,134.88,EUR,2026-07-12
TX-100020,BNK-000020,549.97,EUR,2026-07-10
TX-100021,BNK-000021,439.16,GBP,2026-07-23
TX-100022,BNK-000022,409.14,EUR,2026-07-21
TX-100023,BNK-000023,238.66,EUR,2026-07-11
TX-100024,BNK-000024,394.23,EUR,2026-07-16
TX-100025,BNK-000025,407.32,EUR,2026-07-18
TX-100026,BNK-000026,181.51,EUR,2026-07-22
TX-100027,BNK-000027,135.9,GBP,2026-07-04
TX-100028,BNK-000028,523.24,EUR,2026-07-24
TX-100029,BNK-000029,243.73,EUR,2026-07-08
TX-100030,BNK-000030,255.47,EUR,2026-07-09
TX-100031,BNK-000031,536.29,USD,2026-07-13
TX-100032,BNK-000032,224.11,USD,2026-07-10
TX-100033,BNK-000033,130.15,EUR,2026-07-14
TX-100034,BNK-000034,82.04,EUR,2026-07-19
TX-100035,BNK-000035,120.52,EUR,2026-07-11
TX-100036,BNK-000036,227.16,EUR,2026-07-18
TX-100037,BNK-000037,268.47,EUR,2026-07-17
TX-100038,BNK-000038,179.31,EUR,2026-07-14
TX-100039,BNK-000039,209.61,EUR,2026-07-21
TX-100040,BNK-000040,555.79,EUR,2026-07-03
TX-100041,BNK-000041,539.66,EUR,2026-07-09
TX-100042,BNK-000042,519.24,EUR,2026-07-23
TX-100043,BNK-000043,429.99,EUR,2026-07-09
TX-100044,BNK-000044,509.98,EUR,2026-07-25
TX-100045,BNK-000045,282.83,EUR,2026-07-13
TX-100046,BNK-000046,742.37,EUR,2026-07-06
TX-100047,BNK-000047,100.97,EUR,2026-07-22
TX-100048,BNK-000048,105.5,EUR,2026-07-09
TX-100049,BNK-000049,481.86,EUR,2026-07-06
TX-100050,BNK-000050,107.99,USD,2026-07-14
TX-100051,BNK-000051,380.86,USD,2026-07-21
TX-100052,BNK-000052,120.14,EUR,2026-07-23
TX-100053,BNK-000053,193.8,EUR,2026-07-19
TX-100054,BNK-000054,239.56,EUR,2026-07-17
TX-100056,BNK-000056,370.1,EUR,2026-07-25
TX-100057,BNK-000057,106.79,EUR,2026-07-08
TX-100058,BNK-000058,564.1,EUR,2026-07-15
TX-100059,BNK-000059,577.8,EUR,2026-07-17
TX-100060,BNK-000060,222.18,EUR,2026-07-11
TX-100061,BNK-000061,333.53,EUR,2026-07-08
TX-100062,BNK-000062,206.62,EUR,2026-07-02
TX-100063,BNK-000063,96.59,EUR,2026-07-13
TX-100064,BNK-000064,208.82,EUR,2026-07-21
TX-100065,BNK-000065,35.44,GBP,2026-07-22
TX-100066,BNK-000066,1338.52,EUR,2026-07-11
TX-100067,BNK-000067,111.29,GBP,2026-07-08
TX-100068,BNK-000068,602.32,EUR,2026-07-12
TX-100069,BNK-000069,313.84,GBP,2026-07-08
TX-100070,BNK-000070,380.75,EUR,2026-07-23
TX-100071,BNK-000071,300.2,EUR,2026-07-19
TX-100072,BNK-000072,240.51,EUR,2026-07-12
TX-100073,BNK-000073,267.0,USD,2026-07-17
TX-100074,BNK-000074,670.34,GBP,2026-07-15
TX-100075,BNK-000075,362.9,EUR,2026-07-19
TX-100076,BNK-000076,805.97,USD,2026-07-10
TX-100077,BNK-000077,281.57,GBP,2026-07-10
TX-100078,BNK-000078,310.14,USD,2026-07-23
TX-100079,BNK-000079,1086.92,GBP,2026-07-07
TX-100080,BNK-000080,179.37,EUR,2026-07-15
TX-100081,BNK-000081,148.12,EUR,2026-07-24
TX-100082,BNK-000082,168.34,EUR,2026-07-16
TX-100083,BNK-000083,81.97,EUR,2026-07-19
TX-100084,BNK-000084,79.44,EUR,2026-07-05
TX-100085,BNK-000085,121.25,EUR,2026-07-24
TX-100086,BNK-000086,369.45,GBP,2026-07-18
TX-100087,BNK-000087,70.14,EUR,2026-07-08
TX-100088,BNK-000088,279.07,EUR,2026-07-28
TX-100089,BNK-000089,199.72,GBP,2026-07-04
TX-100090,BNK-000090,199.67,EUR,2026-07-23
TX-100091,BNK-000091,70.35,EUR,2026-07-15
TX-100092,BNK-000092,126.03,USD,2026-07-05
TX-100093,BNK-000093,60.48,USD,2026-07-10
TX-100094,BNK-000094,305.48,EUR,2026-07-10
TX-100095,BNK-000095,581.99,EUR,2026-07-07
TX-100096,BNK-000096,291.55,EUR,2026-07-17
TX-100097,BNK-000097,582.1,GBP,2026-07-08
TX-100098,BNK-000098,281.23,USD,2026-07-17
TX-100099,BNK-000099,847.61,EUR,2026-07-20
TX-100100,BNK-000100,179.61,EUR,2026-07-16
TX-100102,BNK-000102,346.5,EUR,2026-07-15
TX-100103,BNK-000103,252.97,EUR,2026-07-24
TX-100104,BNK-000104,417.76,USD,2026-07-07
TX-100105,BNK-000105,58.84,GBP,2026-07-05
TX-100106,BNK-000106,175.12,EUR,2026-07-04
TX-100107,BNK-000107,170.57,GBP,2026-07-08
TX-100108,BNK-000108,261.76,GBP,2026-07-08
TX-100109,BNK-000109,180.88,EUR,2026-07-20
TX-100110,BNK-000110,317.78,EUR,2026-07-21
TX-100111,BNK-000111,196.84,EUR,2026-07-06
TX-100112,BNK-000112,166.48,EUR,2026-07-07
TX-100113,BNK-000113,155.16,USD,2026-07-09
TX-100114,BNK-000114,179.67,EUR,2026-07-08
TX-100115,BNK-000115,610.84,EUR,2026-07-14
TX-100116,BNK-000116,181.72,EUR,2026-07-21
TX-100117,BNK-000117,172.6,EUR,2026-07-03
TX-100118,BNK-000118,948.11,EUR,2026-07-14
TX-100119,BNK-000119,460.7,EUR,2026-07-23
TX-100120,BNK-000120,145.3,EUR,2026-07-25
TX-100121,BNK-000121,357.63,EUR,2026-07-24
TX-100122,BNK-000122,305.29,EUR,2026-07-25
TX-100123,BNK-000123,180.6,GBP,2026-07-21
