transaction_id,ledger_entry_id,ledger_amount,currency,posting_date
TX-100000,GL-000000,312.29,USD,2026-07-17
TX-100001,GL-000001,661.12,EUR,2026-07-03
TX-100002,GL-000002,187.99,EUR,2026-07-09
TX-100003,GL-000003,786.24,EUR,2026-07-17
TX-100004,GL-000004,1024.14,EUR,2026-07-06
TX-100005,GL-000005,277.88,EUR,2026-07-22
TX-100006,GL-000006,160.87,EUR,2026-07-23
TX-100007,GL-000007,314.17,EUR,2026-07-08
TX-100008,GL-000008,86.73,EUR,2026-07-21
TX-100009,GL-000009,1202.24,EUR,2026-07-09
TX-100010,GL-000010,125.29,GBP,2026-07-20
TX-100011,GL-000011,219.54,EUR,2026-07-10
TX-100012,GL-000012,1086.15,EUR,2026-07-22
TX-100013,GL-000013,226.79,GBP,2026-07-02
TX-100014,GL-000014,191.57,GBP,2026-07-15
TX-100015,GL-000015,1756.42,EUR,2026-07-02
TX-100016,GL-000016,324.8,EUR,2026-07-05
TX-100017,GL-000017,303.88,EUR,2026-07-18
TX-100018,GL-000018,277.2,USD,2026-07-10
TX-100019,GL-000019,134.88,EUR,2026-07-12
TX-100020,GL-000020,549.97,EUR,2026-07-10
TX-100022,GL-000022,409.14,EUR,2026-07-21
TX-100023,GL-000023,238.66,EUR,2026-07-11
TX-100024,GL-000024,394.23,EUR,2026-07-16
TX-100025,GL-000025,407.32,EUR,2026-07-18
TX-100026,GL-000026,181.51,EUR,2026-07-22
TX-100027,GL-000027,135.9,GBP,2026-07-04
TX-100028,GL-000028,523.24,EUR,2026-07-24
TX-100029,GL-000029,243.73,EUR,2026-07-08
TX-100030,GL-000030,255.47,EUR,2026-07-09
TX-100031,GL-000031,536.29,USD,2026-07-13
TX-100032,GL-000032,224.11,USD,2026-07-10
TX-100033,GL-000033,130.15,EUR,2026-07-14
TX-100034,GL-000034,66.79,EUR,2026-07-19
TX-100035,GL-000035,120.52,EUR,2026-07-11
TX-100036,GL-000036,227.16,EUR,2026-07-18
TX-100037,GL-000037,268.47,EUR,2026-07-17
TX-100038,GL-000038,179.31,EUR,2026-07-14
