transaction_id,customer_id,payment_provider,transaction_date,settlement_date,amount,currency,transaction_type,regulatory_classification,bank_amount,bank_settlement_date,ledger_amount,posting_date,bank_record_count,eur_rate,amount_eur,bank_difference,ledger_difference,settlement_days,anomaly_score,is_anomaly,reconciliation_status
TX-100000,C-1056,P-01,2026-07-15,2026-07-17,312.29,USD,Card payment,Consumer,312.29,2026-07-17,312.29,2026-07-17,1,0.92,287.31,0.0,0.0,2.0,42.3,False,Matched
TX-100001,C-1044,P-01,2026-07-01,2026-07-03,661.12,EUR,Refund,EMIR,661.12,2026-07-03,661.12,2026-07-03,1,1.0,661.12,0.0,0.0,2.0,49.5,False,Matched
TX-100002,C-1082,P-01,2026-07-08,2026-07-09,187.99,EUR,Transfer,Consumer,187.99,2026-07-09,187.99,2026-07-09,1,1.0,187.99,0.0,0.0,1.0,43.3,False,Matched
TX-100003,C-1096,P-01,2026-07-15,2026-07-17,786.24,EUR,Refund,PSD2,786.24,2026-07-17,786.24,2026-07-17,1,1.0,786.24,0.0,0.0,2.0,53.9,False,Matched
TX-100004,C-1022,P-01,2026-07-04,2026-07-06,1024.14,EUR,Refund,Operational,1024.14,2026-07-06,1024.14,2026-07-06,1,1.0,1024.14,0.0,0.0,2.0,60.3,True,Matched
TX-100005,C-1003,P-02,2026-07-20,2026-07-22,277.88,EUR,Card payment,PSD2,277.88,2026-07-22,277.88,2026-07-22,1,1.0,277.88,0.0,0.0,2.0,43.6,False,Matched
TX-100006,C-1101,P-01,2026-07-21,2026-07-23,160.87,EUR,Transfer,EMIR,160.87,2026-07-23,160.87,2026-07-23,1,1.0,160.87,0.0,0.0,2.0,43.6,False,Matched
TX-100007,C-1018,P-01,2026-07-06,2026-07-08,314.17,EUR,Transfer,PSD2,314.17,2026-07-08,314.17,2026-07-08,1,1.0,314.17,0.0,0.0,2.0,43.8,False,Matched
TX-100008,C-1105,P-03,2026-07-20,2026-07-21,86.73,EUR,Refund,Consumer,86.73,2026-07-21,86.73,2026-07-21,1,1.0,86.73,0.0,0.0,1.0,50.0,False,Matched
TX-100009,C-1041,P-03,2026-07-08,2026-07-09,1202.24,EUR,Refund,Consumer,1202.24,2026-07-09,1202.24,2026-07-09,1,1.0,1202.24,0.0,0.0,1.0,63.7,True,Matched
TX-100010,C-1046,P-02,2026-07-18,2026-07-20,125.29,GBP,Refund,PSD2,125.29,2026-07-20,125.29,2026-07-20,1,1.18,147.84,0.0,0.0,2.0,45.6,False,Matched
