transaction_id,customer_id,payment_provider,transaction_date,settlement_date,amount,currency,transaction_type,regulatory_classification
TX-100000,C-1056,P-01,2026-07-15,2026-07-17,312.29,USD,Card payment,Consumer
TX-100001,C-1044,P-01,2026-07-01,2026-07-03,661.12,EUR,Refund,EMIR
TX-100002,C-1082,P-01,2026-07-08,2026-07-09,187.99,EUR,Transfer,Consumer
TX-100003,C-1096,P-01,2026-07-15,2026-07-17,786.24,EUR,Refund,PSD2
TX-100004,C-1022,P-01,2026-07-04,2026-07-06,1024.14,EUR,Refund,Operational
TX-100005,C-1003,P-02,2026-07-20,2026-07-22,277.88,EUR,Card payment,PSD2
TX-100006,C-1101,P-01,2026-07-21,2026-07-23,160.87,EUR,Transfer,EMIR
TX-100007,C-1018,P-01,2026-07-06,2026-07-08,314.17,EUR,Transfer,PSD2
TX-100008,C-1105,P-03,2026-07-20,2026-07-21,86.73,EUR,Refund,Consumer
TX-100009,C-1041,P-03,2026-07-08,2026-07-09,1202.24,EUR,Refund,Consumer
TX-100010,C-1046,P-02,2026-07-18,2026-07-20,125.29,GBP,Refund,PSD2
TX-100011,C-1081,P-03,2026-07-09,2026-07-10,219.54,EUR,Refund,Operational
TX-100012,C-1004,P-02,2026-07-21,2026-07-22,1086.15,EUR,Transfer,PSD2
TX-100013,C-1068,P-02,2026-07-01,2026-07-02,226.79,GBP,Refund,EMIR
TX-100014,C-1054,P-01,2026-07-14,2026-07-15,191.57,GBP,Refund,PSD2
TX-100015,C-1066,P-02,2026-07-01,2026-07-02,1756.42,EUR,Refund,PSD2
TX-100016,C-1002,P-02,2026-07-03,2026-07-05,324.8,EUR,Card payment,PSD2
TX-100017,C-1062,P-02,2026-07-16,2026-07-18,303.88,EUR,Transfer,Operational
TX-100018,C-1072,P-01,2026-07-09,2026-07-10,277.2,USD,Transfer,
TX-100019,C-1061,P-02,2026-07-10,2026-07-12,134.88,EUR,Refund,Operational
TX-100020,C-1034,P-01,2026-07-08,2026-07-10,549.97,EUR,Refund,Consumer
TX-100021,C-1080,P-01,2026-07-22,2026-07-23,439.16,GBP,Transfer,EMIR
TX-100022,C-1073,P-02,2026-07-20,2026-07-21,409.14,EUR,Transfer,EMIR
TX-100023,C-1103,P-01,2026-07-09,2026-07-11,238.66,EUR,Card payment,EMIR
TX-100024,C-1076,P-03,2026-07-15,2026-07-16,394.23,EUR,Transfer,Operational
TX-100025,C-1098,P-02,2026-07-16,2026-07-18,407.32,EUR,Refund,Consumer
TX-100026,C-1016,P-03,2026-07-21,2026-07-22,181.51,EUR,Refund,EMIR
TX-100027,C-1021,P-02,2026-07-02,2026-07-04,135.9,GBP,Card payment,EMIR
TX-100028,C-1106,P-03,2026-07-23,2026-07-24,523.24,EUR,Refund,Operational
TX-100029,C-1066,P-01,2026-07-07,2026-07-08,243.73,EUR,Transfer,EMIR
TX-100030,C-1009,P-03,2026-07-07,2026-07-09,255.47,EUR,Card payment,PSD2
TX-100031,C-1075,P-02,2026-07-11,2026-07-13,536.29,USD,Card payment,Operational
TX-100032,C-1098,P-02,2026-07-09,2026-07-10,224.11,USD,Card payment,PSD2
TX-100033,C-1087,P-01,2026-07-12,2026-07-14,130.15,EUR,Transfer,Consumer
TX-100034,C-1091,P-02,2026-07-17,2026-07-19,66.79,EUR,Transfer,Consumer
TX-100035,C-1061,P-03,2026-07-10,2026-07-11,120.52,EUR,Card payment,PSD2
TX-100036,C-1039,P-01,2026-07-17,2026-07-18,227.16,EUR,Transfer,Consumer
TX-100037,C-1090,P-01,2026-07-16,2026-07-17,268.47,EUR,Card payment,PSD2
TX-100038,C-1107,P-01,2026-07-12,2026-07-14,179.31,EUR,Refund,EMIR
TX-100039,C-1003,P-01,2026-07-19,2026-07-21,209.61,EUR,Card payment,PSD2
TX-100040,C-1042,P-02,2026-07-02,2026-07-03,555.79,EUR,Refund,Consumer
TX-100041,C-1065,P-01,2026-07-07,2026-07-09,539.66,EUR,Transfer,Consumer
TX-100042,C-1037,P-02,2026-07-21,2026-07-23,519.24,EUR,Card payment,PSD2
TX-100043,C-1074,P-03,2026-07-07,2026-07-09,429.99,EUR,Refund,EMIR
TX-100044,C-1101,P-01,2026-07-23,2026-07-25,509.98,EUR,Card payment,Consumer
TX-100045,C-1044,P-01,2026-07-11,2026-07-13,282.83,EUR,Transfer,PSD2
TX-100046,C-1030,P-02,2026-07-05,2026-07-06,742.37,EUR,Card payment,Operational
TX-100047,C-1086,P-01,2026-07-20,2026-07-22,100.97,EUR,Refund,EMIR
TX-100048,C-1107,P-01,2026-07-07,2026-07-09,105.5,EUR,Card payment,Operational
TX-100049,C-1106,P-02,2026-07-05,2026-07-06,481.86,EUR,Card payment,EMIR
